initialize...
initialize...
initialize...
initialize...
initialize...
initialize...
initialize...
initialize...
initialize...
initialize...
initialize...
initialize...
initialize...
initialize...
initialize...
initialize...
initialize...
initialize...
initialize...
initialize...
initialize...
initialize...
initialize...
initialize...
initialize...
initialize...
initialize...
initialize...
initialize...
initialize...
initialize...
initialize...
initialize...
initialize...
initialize...
initialize...
initialize...
initialize...
initialize...
initialize...
initialize...
initialize...
initialize...
initialize...
initialize...
initialize...
initialize...
initialize...
initialize...
initialize...
initialize...
initialize...
initialize...
initialize...
initialize...
initialize...
initialize...
initialize...
initialize...
initialize...
initialize...
initialize...
initialize...
initialize...
initialize...
initialize...
initialize...
initialize...
initialize...
initialize...
[MODE:0][Sel:Y][FCW:       1][       0] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       1][       1] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       1][       2] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       1][       3] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       1][       4] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       1][       5] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       1][       6] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       1][       7] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       1][       8] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       1][       9] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       1][      10] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       1][      11] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       1][      12] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       1][      13] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       1][      14] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       1][      15] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       1][      16] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       1][      17] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       1][      18] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       1][      19] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       1][      20] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       1][      21] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       1][      22] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       1][      23] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       1][      24] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       1][      25] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       1][      26] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       1][      27] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       1][      28] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       1][      29] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       1][      30] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
